T,prob
0.1,0.22421
1.4,0.280743
1.65,0.295007
1.85,0.25651
2.04,0.350287
2.18,0.541615
2.26,0.93645
2.27,0.936028
2.28,0.93677
2.29,0.812893
2.32,0.709424
2.37,0.64633
2.44,0.549349
2.55,0.514044
2.7,0.466829
2.9,0.330142
3.25,0.359016
3.7,0.222945
4.6,0.222463
6.2,0.204205
